ingredient_id,ciqual_alim_code,aliment_name,component_id,component_name,normalized_value,normalized_unit,confidence_code,confidence,source_citation
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",208.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",ENERCKCAL,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)",48.9,kcal,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",WATER,Eau (g/100 g),88.4,g,A,0.95,"ANSES Ciqual 2025-11-03 — Car-Larebron (2008b). Rapport de laboratoire, analyses Ciqual."
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",SALT,Sel chlorure de sodium (g/100 g),0.022,g,A,0.95,ANSES Ciqual 2025-11-03 — Extraction BDD Oqali au 07/02/2014
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",NA,Sodium (mg/100 g),13.3,mg,A,0.95,ANSES Ciqual 2025-11-03 — Extraction BDD Oqali au 07/02/2014
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",PROTEIN,"Protéines, N x 6.25 (g/100 g)",0.17,g,A,0.95,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",CARB,Glucides (g/100 g),11.4,g,A,0.95,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",SUGAR,Sucres (g/100 g),10.9,g,A,0.95,ANSES Ciqual 2025-11-03 — Extraction BDD Oqali au 07/02/2014
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",FIBER,Fibres alimentaires (g/100 g),0.23,g,A,0.95,ANSES Ciqual 2025-11-03 — Extraction BDD Oqali au 07/02/2014
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",FAT,Lipides (g/100 g),0.14,g,A,0.95,ANSES Ciqual 2025-11-03 — Extraction BDD Oqali au 07/02/2014
ING-PLANT-POMME-000004,2074,"Jus de pomme, pur jus",FAT_SAT,AG saturés (g/100 g),0.046,g,A,0.95,ANSES Ciqual 2025-11-03 — Extraction BDD Oqali au 07/02/2014
ING-PLANT-POMMEDETERRE-000001,4008,"Pomme de terre, sans peau, crue",ENERC,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)",339.0,kJ,D,0.6,ANSES Ciqual 2025-11-03 — Valeur ajustée/calculée/imputée Ciqual
