ingredient_id,canonical_name_fr,canonical_name_en,aliases_fr,aliases_en,scientific_name,kingdom_or_origin,category_level_1,category_level_2,category_level_3,source_organism,anatomical_part,ingredient_class,raw_or_intermediate,processing_state,physical_form,fermented,dried,smoked,roasted,concentrated,alcoholic,generic_abv_range,country_or_region_relevance,foodon_id,langual_ids,foodex2_code,ciqual_ids,usda_fdc_ids,other_external_ids,allergen_tags,regulatory_notes,source_refs,confidence,review_status,notes
ING-PLANT-POMME-000001,Pomme crue,"Apple, raw",pomme|pomme fraîche,apple|fresh apple,Malus domestica,Plantae,végétal,fruit,fruit à pépins,Malus domestica,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330143,B1560,A04HA,13000,171688,,,,FOODON|LANGUAL|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,"Pomme crue avec peau, valeur de référence générique non variétale."
ING-PLANT-POMME-000002,Pomme cuite,"Apple, cooked",pomme cuite|pomme au four,cooked apple|baked apple,Malus domestica,Plantae,végétal,fruit,fruit à pépins,Malus domestica,fruit entier,fruit cuit,intermediate,cooked,sliced,false,false,false,false,false,false,,,FOODON:0330144,,,13001,171689,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-POMME-000003,Compote de pomme,Apple sauce,compote de pommes,apple sauce|stewed apple,Malus domestica,Plantae,végétal,sous-produit,compote,Malus domestica,pulpe,compote,intermediate,cooked,purée,false,false,false,false,false,false,,,FOODON:0330557,,,13112,,,,,FOODON|CIQUAL|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-POMME-000004,Jus de pomme,Apple juice,jus de pomme 100% fruit,apple juice|cloudy apple juice,Malus domestica,Plantae,végétal,sous-produit,jus,Malus domestica,pulpe,jus de fruit,intermediate,pressed,liquid,false,false,false,false,false,false,,,FOODON:0330618,,,13116,171687,,,,FOODON|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ORANGE-000001,Orange cru,"Orange, raw",orange,orange,Citrus sinensis,Plantae,végétal,fruit,agrume,Citrus sinensis,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FB,13034,173944,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTEORANGE-000001,Zeste de orange,Orange zest,zeste orange,orange peel|zest,Citrus sinensis,Plantae,végétal,sous-produit,zeste,Citrus sinensis,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-CITRONJAUNE-000001,Citron jaune cru,"Lemon, raw",citron jaune,lemon,Citrus limon,Plantae,végétal,fruit,agrume,Citrus limon,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FA,13036,173946,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTECITRONJ-000001,Zeste de citron jaune,Lemon zest,zeste citron jaune,lemon peel|zest,Citrus limon,Plantae,végétal,sous-produit,zeste,Citrus limon,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-CITRONVERT-000001,Citron vert cru,"Lime, raw",citron vert,lime,Citrus aurantiifolia,Plantae,végétal,fruit,agrume,Citrus aurantiifolia,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FA,13037,173949,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTECITRONV-000001,Zeste de citron vert,Lime zest,zeste citron vert,lime peel|zest,Citrus aurantiifolia,Plantae,végétal,sous-produit,zeste,Citrus aurantiifolia,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-PAMPLEMOUSSE-000001,Pamplemousse cru,"Grapefruit, raw",pamplemousse,grapefruit,Citrus paradisi,Plantae,végétal,fruit,agrume,Citrus paradisi,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FD,13040,173947,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTEPAMPLEM-000001,Zeste de pamplemousse,Grapefruit zest,zeste pamplemousse,grapefruit peel|zest,Citrus paradisi,Plantae,végétal,sous-produit,zeste,Citrus paradisi,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-MANDARINE-000001,Mandarine cru,"Mandarin, raw",mandarine,mandarin,Citrus reticulata,Plantae,végétal,fruit,agrume,Citrus reticulata,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FC,13035,173952,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTEMANDARI-000001,Zeste de mandarine,Mandarin zest,zeste mandarine,mandarin peel|zest,Citrus reticulata,Plantae,végétal,sous-produit,zeste,Citrus reticulata,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-BERGAMOTE-000001,Bergamote cru,"Bergamot, raw",bergamote,bergamot,Citrus bergamia,Plantae,végétal,fruit,agrume,Citrus bergamia,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FA,,,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTEBERGAMO-000001,Zeste de bergamote,Bergamot zest,zeste bergamote,bergamot peel|zest,Citrus bergamia,Plantae,végétal,sous-produit,zeste,Citrus bergamia,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-YUZU-000001,Yuzu cru,"Yuzu, raw",yuzu,yuzu,Citrus junos,Plantae,végétal,fruit,agrume,Citrus junos,fruit entier,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FA,,,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
ING-PLANT-ZESTEYUZU-000001,Zeste de yuzu,Yuzu zest,zeste yuzu,yuzu peel|zest,Citrus junos,Plantae,végétal,sous-produit,zeste,Citrus junos,péricarpe,zeste,raw,fresh,râpé,false,false,false,false,false,false,,,FOODON:0330233,,,,,,,,FOODON|MAESTRO_INTERNAL,0.80,curated,
ING-PLANT-COMBAVA-000001,Combava cru,"Kaffir lime, raw",combava,kaffir lime,Citrus hystrix,Plantae,végétal,fruit,agrume,Citrus hystrix,feuilles et zeste,fruit frais,raw,fresh,whole,false,false,false,false,false,false,,,FOODON:0330230,,A04FA,,,,,,FOODON|FOODEX2|CIQUAL|USDAFDC|MAESTRO_INTERNAL,0.85,curated,
