nutrition_record_id,ingredient_id,ingredient_state_id,canonical_name_fr,source_id,source_food_id,source_food_name,source_version,source_country,component_id,component_name,component_group,original_value,original_unit,normalized_value,normalized_unit,basis,value_qualifier,value_type,min_value,max_value,sample_count,analytical_method,derivation_method,data_date,retrieval_date,source_url,confidence,mapping_confidence,notes
NUTR-0000001,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,ENERCKCAL,Énergie (kcal),energy,52,kcal,52,kcal,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000002,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,ENERC,Énergie (kJ),energy,218,kJ,218,kJ,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000003,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,WATER,Eau,matrix,85.6,g,85.6,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000004,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,DRYMAT,Matière sèche,matrix,14.4,g,14.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000005,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,ASH,Cendres,matrix,0.21,g,0.21,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000006,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,PROTEIN,Protéines,macronutrient,0.26,g,0.26,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000007,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FAT,Lipides totaux,macronutrient,0.17,g,0.17,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000008,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,CARB,Glucides totaux,macronutrient,11.4,g,11.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000009,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,SUGAR,Sucres totaux,carbohydrate,10.4,g,10.4,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000010,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,GLUCOSE,Glucose,carbohydrate,1.7,g,1.7,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
NUTR-0000011,ING-PLANT-POMME-000001,raw,Pomme crue,CIQUAL,13000,"Pomme, crue, avec peau",2024,France,FRUCTOSE,Fructose,carbohydrate,5.7,g,5.7,g,per_100g_edible_part,EXACT,measured,,,,,,,2026-08-22,https://ciqual.anses.fr/,0.95,0.90,
