ingredient_id,ingredient_state_id,compound_id,presence_status,concentration,concentration_unit,concentration_min,concentration_max,analytical_method,matrix,process_state,source_ref,evidence_type,confidence
ING-PLANT-POMME-000001,raw,ETHBUTY,REPORTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,PUBCHEM,measured,0.75
ING-PLANT-POMME-000001,raw,ETHACET,REPORTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,PUBCHEM,measured,0.70
ING-PLANT-POMME-000001,raw,HEXANAL,REPORTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-POMME-000001,raw,E2HEXENAL,REPORTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.80
ING-PLANT-CITRONJAUNE-000001,raw,LIMONENE,QUANTIFIED,70,mg/100g,50,90,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-PLANT-CITRONJAUNE-000001,raw,CITRAL,QUANTIFIED,5,mg/100g,3,8,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-CITRONJAUNE-000001,raw,CITRONEL,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-FRAISE-000001,raw,ETHBUTY,QUANTIFIED,0.8,mg/100g,0.4,1.5,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-FRAISE-000001,raw,ISOAMYLACET,QUANTIFIED,0.5,mg/100g,0.3,1,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.85
ING-PLANT-FRAISE-000001,raw,UNDECALACT,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-BANANE-000001,raw,ISOAMYLACET,QUANTIFIED,4.5,mg/100g,3,6,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.95
ING-PLANT-BANANE-000001,raw,ETHBUTY,QUANTIFIED,0.6,mg/100g,0.3,1,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-ANANAS-000001,raw,ETHBUTY,QUANTIFIED,0.5,mg/100g,0.2,1,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.90
ING-PLANT-ANANAS-000001,raw,METHANTH,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-RAISIN-000001,raw,METHANTH,DETECTED,,,,,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2,measured,0.85
ING-PLANT-RAISIN-000001,raw,LINALOOL,QUANTIFIED,0.5,mg/100g,0.2,1,GC-MS/GC-O (FlavorDB2 aggregated),fresh/raw,raw,FLAVORDB2|PUBCHEM,analytical_database,0.85
