ingredient_id,ingredient_state_id,temperature_reference_C,water_content,fat_content,protein_content,starch_content,sugar_content,fiber_content,pectin_content,alcohol_content,salt_content,mineral_content,ph,titratable_acidity,water_activity,brix,density_g_per_mL,particle_size_um,solubility,oil_holding_capacity_g_g,water_holding_capacity_g_g,emulsifying_capacity,foaming_capacity,gelation_capability,thickening_capability,hygroscopicity,thermal_stability,freeze_thaw_stability,oxidation_sensitivity,source_refs,evidence_type,confidence,validity_conditions
ING-DAIRY-BEURREDOUX-000001,churned,20,15.7,81.5,0.7,0,0.6,0,,,0.05,,,,0.95,,0.911,,insoluble,0.2,,medium_fat,low,no,no,low,phase_inversion_frying,good,medium,LIT:O'Brien|LIT:McClements,measured,0.90,ambient_to_refrigerated
ING-TECH-HUILEDOLIVEV-000001,liquid,20,0.1,100,0,0,0,0,,,0,,,,0.4,,0.915,,insoluble,0.18,,none_without_emulsifier,low,no,no,none,high_smoke_point_190C,good_under_nitrogen,medium,LIT:O'Brien,measured,0.90,ambient_to_refrigerated
ING-DAIRY-BEURRECLARIF-000001,clarified,20,0.1,99.5,0,0,0,0,,,0,,,,0.4,,0.905,,insoluble,,,none,low,no,no,none,very_high_smoke_point_250C,excellent,low,LIT:O'Brien,measured,0.90,ambient_to_refrigerated
ING-ANIMAL-UFDEPOULE-000001,fresh,20,76.1,9.5,12.6,0,0.4,0,,,0.14,,7.6,,0.97,,1.03,,dispersion,,,excellent_yolk,excellent_white,yes_coagulation,low,none,coagulates_65-70C,poor_white,yolk_medium,LIT:Damodaran|LIT:Belitz,measured,0.95,ambient_to_refrigerated
ING-TECH-FARINEDEBLTE-000001,milled,20,14.0,1.1,10.3,68.0,1.7,2.5,,,0,,6.2,,0.7,,0.53,100,partial_starch,0.9,1.2,low,low,yes_gluten_network,medium_paste,medium,starch_gel_60-90C,good,low,LIT:BeMiller|LIT:Shewry,measured,0.95,ambient_to_refrigerated
ING-TECH-GLATINE-000001,powder,20,12.0,0,86.0,0,0,0,,,0.5,,5.5,,0.5,,0.7,200,bloom_above_60C,,,low,medium,yes_thermoreversible,high,low,melts_30-35C,good,low,LIT:GME,measured,0.95,ambient_to_refrigerated
ING-TECH-AGARAGAR-000001,powder,20,12.0,0,0,0,0,0,,,0.5,,7.0,,0.5,,0.7,200,soluble_above_90C,,,none,none,yes_thermo_irreversible,high,low,gel_stable_above_85C,excellent,low,LIT:Phillips,measured,0.95,ambient_to_refrigerated
ING-TECH-PECTINEHM-000001,powder,20,12.0,0,0,0,0,0,,,0,,3.5,,0.45,,0.65,150,soluble_below_60C_agitation,,,low,none,yes_sugar_60-65pct_acid,high,high,degrades_pH3_high_T,good,low,LIT:Sriamornsak,measured,0.95,ambient_to_refrigerated
ING-TECH-GOMMEXANTHAN-000001,powder,20,12.0,0,0,0,0,80.0,,,0,,7.0,,0.45,,0.8,80,fast_cold,,,medium,none,weak_alone,excellent_pseudoplastic,medium,excellent_pH_T,excellent,low,LIT:GME,measured,0.95,ambient_to_refrigerated
ING-TECH-LCITHINEDESO-000001,powder,20,1.0,97.0,0,0,0,0,,,0,,,,0.4,,0.5,100,dispersible,,,excellent_o/w,low,no,no,medium,degrades_above_120C,good,high_unsaturated,LIT:McClements,measured,0.95,ambient_to_refrigerated
ING-TECH-SUCREBLANC-000001,crystallized,20,0.04,0,0,0,99.8,0,,,0,,7.0,,0.45,100,0.85,500,very_high_487g/L_20C,,,none,none,no,no,low,caramelization_160C,good,low,LIT:LWT,measured,0.98,ambient_to_refrigerated
ING-TECH-SELFIN-000001,crystallized,20,0.1,0,0,0,0,0,,,99.9,,7.0,,0.75,,1.2,200,360g/L,,,none,destabilizes_egg_white,no,no,medium,excellent,excellent,low,LIT:LWT,measured,0.95,ambient_to_refrigerated
ING-PLANT-TOMATE-000001,fresh,20,94.0,0.2,0.86,0,2.8,1.2,,,0.01,,4.3,,0.99,4.5,1.02,,n/a,,,none,none,no,low,high,pectin_solubilization_T,poor_textural_loss,medium_lycopene,LIT:LWT,measured,0.85,ambient_to_refrigerated
ING-PLANT-POMME-000001,fresh,20,85.6,0.17,0.26,0,10.4,2.4,,,0.01,,3.5,,0.97,12.5,0.95,,n/a,,,none,none,no,low,high,pectin_solubilization_browning,poor_textural_loss,high_browning_PPO,LIT:LWT,measured,0.85,ambient_to_refrigerated
ING-DAIRY-LAITENTIER-000001,pasteurized,20,87.4,3.5,3.15,0,4.65,0,,,0.04,,6.7,,0.97,,1.03,0.5,emulsion,,,natural_o/w_emulsion,medium_steam,yes_casein_acid,low_viscosity,high,scald_85C,poor_separation,low,LIT:Damodaran,measured,0.95,ambient_to_refrigerated
ING-BEV-VINROUGE-000001,fermented,20,86.5,0,0.07,0,0.6,0,,,0.004,,3.5,,0.95,,0.995,,alcohol_solution,,,low,none,no,no,high,alcohol_evaporation_78C,medium,high_polyphenols,LIT:LWT,measured,0.85,ambient_to_refrigerated
ING-ANIMAL-BUFVIANDE-000001,fresh,4,65.0,14.0,20.0,0,0,0,,,0.07,,5.7,,0.98,,1.06,10000,n/a,,,low,none,no_raw_yes_cooked,no,medium,Maillard_140C_collagen_60C,medium_exudation,high_lipid,LIT:Tornberg,measured,0.90,ambient_to_refrigerated
ING-MARINE-SAUMON-000001,fresh,4,64.0,13.4,20.4,0,0,0,,,0.06,,6.2,,0.99,,1.04,8000,n/a,,,low,none,no_raw_yes_cooked,no,medium,collagen_50C_proteins_60C,medium_exudation,very_high_PUFA,LIT:Belitz,measured,0.85,ambient_to_refrigerated
