source_id,source_name,source_url,version,retrieval_date,license_name,license_url,commercial_use,redistribution_allowed,attribution_required,notes,approved_for_ingestion
FOODON,Food Ontology (FoodOn),https://foodon.org/,2024-07,2026-08-22,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,yes,yes,yes,Ontologie alimentaire de référence ; utilisées pour mapper les concepts d'aliments et de processus.,true
LANGUAL,LanguaL Thesaurus,https://www.langual.org/,2024,2026-08-22,Public domain (US gov work),https://www.langual.org/,yes,yes,yes,Thésaurus international de description d'aliments ; utilisé pour facettes de transformation.,true
FOODEX2,EFSA FoodEx2,https://www.efsa.europa.eu/en/data/data-standardisation,2024,2026-08-22,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,yes,yes,yes,Système de classification EFSA pour les matrices alimentaires européennes.,true
CIQUAL,ANSES-CIQUAL 2025,https://ciqual.anses.fr/,2025,2026-08-22,Licence Ouverte 2.0 (Etalab),https://www.etalab.gouv.fr/licence-ouverte-2-0/,yes,yes,yes,Table française de composition nutritionnelle ; référentiel primaire Phase 2.,true
USDAFDC,USDA FoodData Central,https://fdc.nal.usda.gov/,2024-10,2026-08-22,Public domain (US gov work),https://www.usa.gov/government-works,yes,yes,yes,Référentiel international ; Foundation Foods et SR Legacy privilégiés.,true
INFOODS,FAO/INFOODS,https://www.fao.org/food-composition/,2024,2026-08-22,CC BY-NC-SA 3.0 IGO,https://creativecommons.org/licenses/by-nc-sa/3.0/igo/,restricted,yes_with_conditions,yes,Annuaire et directives de food matching ; usage non commercial sauf licence spécifique.,true
EUROFIR,EuroFIR FoodEXplorer,https://www.eurofir.org/our-tools/foodexplorer/,2024,2026-08-22,Conditions EuroFIR (accès adhérent),https://www.eurofir.org/,restricted,no_for_unaffiliated,yes,Usage strictement limité aux adhérents disposant d'un accès. À n'utiliser qu'après validation licence.,false
FLAVORDB2,FlavorDB2,https://cosylab.iiitd.edu.in/flavordb2/,2024,2026-08-22,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,no,yes_with_attribution,yes,Base académique ouverte ; utilisée comme source de référence pour composés aromatiques.,true
FOODB,FooDB,https://foodb.ca/,2024,2026-08-22,CC BY-NC-SA 4.0 (réutilisation commerciale sur autorisation),https://creativecommons.org/licenses/by-nc-sa/4.0/,restricted,yes_with_attribution,yes,Redistribution commerciale FooDB soumise à autorisation explicite (cf. CGU FooDB).,false
PUBCHEM,PubChem (NCBI),https://pubchem.ncbi.nlm.nih.gov/,2024-12,2026-08-22,Public domain (US gov work),https://www.nih.nlm.nih.gov/web-policies/notices,yes,yes,yes,"Identifiants, masses molaires, seuils olfactifs publiés.",true
CHEBI,ChEBI (EBI),https://www.ebi.ac.uk/chebi/,2024-12,2026-08-22,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,yes,yes,yes,Base d'identifiants chimie/biologie pour composés alimentaires.,true
MAESTRO_INTERNAL,MaestroPesto — registre interne,internal://maestropesto,1.0.0,2026-08-22,CC BY 4.0 (production interne),https://creativecommons.org/licenses/by/4.0/,yes,yes,yes,"Identifiants canoniques, classifications et synonymes curés par l'équipe R&D MaestroPesto.",true
