record_id,combination_size,ingredient_ids,ingredient_names,context,process_context,observed_or_predicted,aroma_similarity,aroma_complement,aroma_contrast,taste_balance,culinary_support,sensory_support,dominance_risk,masking_risk,novelty_score,overall_score,confidence,key_compounds,key_descriptors,bridge_ingredients,evidence_refs,model_version,explanation
COMP-000001,2,ING-ANIMAL-AGNEAUVIANDE-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000002,2,ING-PLANT-ABRICOT-000001|ING-PLANT-AIL-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000003,2,ING-PLANT-ABRICOT-000001|ING-PLANT-ANANAS-000001,,all,raw_or_cooked,predicted,0.000,0.400,0.600,0.400,,,0.250,0.400,,0.070,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
COMP-000004,2,ING-MARINE-ANCHOIS-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.800,,,0.250,0.000,,0.110,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
COMP-000005,2,ING-PLANT-ABRICOT-000001|ING-PLANT-ANETH-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000006,2,ING-PLANT-ABRICOT-000001|ING-PLANT-BANANE-000001,,all,raw_or_cooked,predicted,0.000,0.500,0.500,0.400,,,0.250,0.400,,0.100,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
COMP-000007,2,ING-PLANT-ABRICOT-000001|ING-PLANT-BASILIC-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000008,2,ING-DAIRY-BEURRECLARIF-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000009,2,ING-DAIRY-BEURREDOUX-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000010,2,ING-BEV-BIREIPA-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
COMP-000011,2,ING-BEV-BIREBLONDELA-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.600,,,0.250,0.000,,0.070,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
