op_id,family,name,T_min_C,T_max_C,duration_min,pressure,shear_rate_s-1,mixing_rpm,energy_input,cooling_rate,heating_rate,target_ph,target_aw,target_brix,particle_size_target_um,oxygen_exposure,atmosphere,order_index,addition_mode,rest_time,notes
PROC_CHAUFFER,thermal,Chauffer,30,250,1,atmospheric,,,,,,,,,,,ambient,,,,Élévation contrôlée de la température sans atteinte d'un seuil.
PROC_CUIRE,thermal,Cuire,60,200,5,,,,,,,,,,,,ambient,,,,Procédé thermique générique — cas particulier de chauffer + maintenir.
PROC_BOUILLIR,thermal,Bouillir,95,105,5,,,,,,,,,,,,ambient,,,,"Ébullition : eau à 100°C, agitation thermique."
PROC_FREMIR,thermal,Frémir,85,95,5,,,,,,,,,,,,ambient,,,,Sous-ébullition : bulles intermittentes.
PROC_POCHER,thermal,Pocher,70,85,3,,,,,,,,,,,,ambient,,,,Cuisson douce dans un liquide entre 70 et 85°C.
PROC_VAPEUR,thermal,Cuire à la vapeur,95,100,5,,,,,,,,,,,,saturated_steam,,,,Cuisson par vapeur saturée.
PROC_ROTIR,thermal,Rôtir,150,250,20,,,,,,,,,,,,ambient,,,,"Cuisson à sec chaleur sèche, surface exposée."
PROC_GRILLER,thermal,Griller,200,280,3,,,,,,,,,,,,ambient,,,,"Rayonnement direct intense (barbecue, salamandre)."
PROC_FRIRE,thermal,Frire,160,200,2,,,,,,,,,,,,ambient,,,,Cuisson par immersion dans un bain de matière grasse.
PROC_TORREFIER,thermal,Torréfier,150,240,10,,,,,,,,,,,,ambient,,,,Application de chaleur sèche pour développer Maillard et arômes.
PROC_PASTEURISER,thermal,Pasteuriser,63,90,30,,,,,,,,,,,,ambient,,,,Pasteurisation : détruire flore pathogène.
PROC_STERILISER,thermal,Stériliser,115,130,15,high_pressure,,,,,,,,,,,ambient,,,,"Appertisation, destruction spores."
PROC_REFROIDIR,thermal,Refroidir,-50,25,30,,,,,,,,,,,,ambient,,,,Descente en T contrôlée.
PROC_CONGELER,thermal,Congeler,-30,-18,240,,,,,,,,,,,,ambient,,,,Stockage à T négatives.
PROC_DECONGELER,thermal,Décongeler,0,25,720,,,,,,,,,,,,ambient,,,,"Remise à T ambiante, dégradations possibles."
PROC_MELANGER,mechanical,Mélanger,,,,,0,10-200,,,,,,,,,,,,,Mélange sans cisaillement important.
PROC_FOUETTER,mechanical,Fouetter,,,,,100,200-1000,,,,,,,,,,,,,Incorporation d'air (mousse/meringue/émulsion).
PROC_HOMOGENEISER,mechanical,Homogénéiser,,,,100-300 bar,1000,,,,,,,,,,,,,,Réduction taille globules (lait UHT).
PROC_CISAILLER,mechanical,Cisailler,,,,,1000,,,,,,,,,,,,,,Mixeur plongeant : cisaillement élevé.
PROC_PETRIR,mechanical,Pétrir,,,10,,200,60-120,,,,,,,,,,,,,Pâte panifiable : gluten + air.
PROC_BROYER,mechanical,Broyer,,,,,,,,,,,,,100,,,,,,"Mouture, broyage, réduction de taille."
PROC_MIXER,mechanical,Mixer (cutters),,,,,5000,,,,,,,,,,,,,,Cutter : cisaillement très élevé.
PROC_PRESSER,mechanical,Presser,,,,high,,,,,,,,,,,,,,,"Extraction mécanique (jus, huile)."
PROC_FILTRER,mechanical,Filtrer,,,,,,,,,,,,,100,,,,,,Séparation solide/liquide par tamisage.
PROC_CENTRIFUGER,mechanical,Centrifuger,,,,,1000,,,,,,,,,,,,,,Séparation par force centrifuge.
PROC_INFUSER,transfer,Infuser,,,5,,,,,,,,,,,,,,,,"Extraction par contact (thé, café)."
PROC_EXTRAIRE,transfer,Extraire,,,,,,,,,,,,,,,,,,,Extraction par solvant/pression/température.
PROC_MACERER,transfer,Macérer,,,1440,,,,,,,,,,,,,,,,Contact long à T ambiante.
PROC_REDUIRE,transfer,Réduire,,,30,,,,,,,,,,,,,,,,Évaporation d'une partie du liquide.
PROC_EVAPORER,transfer,Évaporer,,,,,,,,,,,,,,,,,,,Concentration par vaporisation.
PROC_DESHYDRATER,transfer,Déshydrater,,,480,,,,,,,,,,,,,,,,Élimination d'eau à T modérée.
PROC_EGOUTTER,transfer,Égoutter,,,,,,,,,,,,,,,,,,,Séparation par gravité.
PROC_DECANTER,transfer,Décanter,,,60,,,,,,,,,,,,,,,,Repos pour décantation.
PROC_FERMENTER,biochemical,Fermenter,18,40,480,,,,,,,,,,,,,,,,"Fermentation contrôlée : levain, yaourt, etc."
PROC_FAIRE_LEVER,biochemical,Faire lever,25,35,120,,,,,,,,,,,,,,,,Levage par CO2 : pâte levée.
PROC_MATURER,biochemical,Maturer,4,25,720,,,,,,,,,,,,,,,,Affinage enzymatique contrôlé.
PROC_ENZYMATISER,biochemical,Enzymatiser,,,,,,,,,,,,,,,,,,,"Ajout d'enzymes (transglutaminase, protéases)."
PROC_ACIDIFIER,biochemical,Acidifier,,,,,,,,,,,,,,,,,,,"Baisse du pH (bactéries lactiques, ajout d'acide)."
